injury_id,injury_name,injury_location,severity,acute_phase_days,avoid_exercises,phase1_rehab,phase2_rehab,phase3_return,recommended_supplements,red_flags,source
43,Shoulder Impingement Syndrome — Variant 18,Shoulder,Moderate,7-21,"Overhead press, Lateral raise above 90°, Upright row, Behind-neck exercises, Dips (wide arm), Swimming (freestyle intensive).","Scapular mobilization, Posterior capsule stretch (cross-body), Sleeper stretch, Anti-inflammatory protocol.","Rotator cuff strengthening (internal/external rotation), Serratus anterior activation, Row variations.","Landmine press, Cable shoulder press, Incline bench press, DB lateral raise (below 90°).","Omega-3 2-3g, Vitamin D3 2000 IU, Magnesium 300mg","Night pain, significant loss of ROM → cortisone + imaging.",Neer Classification; British Shoulder & Elbow Society Guidelines (variant)
44,Lumbar Disc Herniation (L4-L5 or L5-S1) — Variant 19,Lower Back,Moderate,7-21,"All spinal flexion (crunches, sit-ups, bent-over rows), Deadlift, Heavy squat, Leg press, Twisting movements, Box jumps.","McKenzie press-up (prone extension) 3×10, Walking in pool, Supine piriformis stretch, Ice/heat alternation. Consult physio.","Prone cobra, Pelvic tilt, Hip flexor stretch, Partial sit-up (only if pain-free). Core stabilization priority.","Gradual introduction of hip hinge pattern, Cable pull-through, Trap bar deadlift at 50% max. 8-12 week timeline.","B12 1000mcg (nerve health), Alpha-lipoic acid 600mg, Omega-3 3g, Collagen 10g","Foot drop, saddle anaesthesia, bilateral leg weakness → emergency surgery consult.",McKenzie Institute; Spine Journal 2022 Conservative Management Guidelines (variant)
45,"ACL Tear (Post-surgical Rehab, Phase 1) — Variant 20",Knee,Moderate,0-14 post-op,"All weight-bearing exercise. No pivoting, cutting, jumping. No open-chain knee extension 0-60°.","Quad sets, Straight leg raise, Ankle pumps, Heel prop extension stretching, Cryotherapy, Gait training with crutches.","Stationary cycling (week 4-6), Leg press 0-60° (week 6), Pool walking, Progressive weight-bearing.","Return to sport at 9-12 months minimum. Single-leg squat, Hop tests (LSI >90%), Agility drills.","Vitamin C 1000mg, Zinc 25mg, Protein 1.8-2.2g/kg/day, Creatine 5g (muscle preservation)","Sudden effusion increase, fever, wound infection → immediate surgical consult.",JOSPT ACL Post-op Rehab Guidelines 2021; NICE Guidelines (variant)
46,Cervical Spondylosis (Neck Stiffness) — Variant 21,Neck / Cervical Spine,Mild,Chronic — activity modification,"Behind-neck press, Behind-neck lat pull-down, Neck bridges, Headstand, Heavy shrugs, Overhead pressing with neck tension.","Cervical retraction (chin tucks, 10×10/day), Neck rotation (active), Scapular squeezes, Heat, Postural correction.","Band face pull, Prone cobra, Deep neck flexor strengthening, Chin tuck on incline, Gentle cardio.","Shoulder press (neutral, dumbbell), Pull-up, Deadlift with neutral neck, Gradual heavy loading.","Vitamin D3 3000 IU, Calcium 1000mg, Omega-3 2g, B12 1000mcg","Arm weakness, electric shock sensation on neck flexion (Lhermitte sign) → MRI immediately.",NICE Cervical Spondylosis Guidelines; Spine Journal 2022 (variant)
47,Shoulder Impingement Syndrome — Variant 22,Shoulder,Moderate,7-21,"Overhead press, Lateral raise above 90°, Upright row, Behind-neck exercises, Dips (wide arm), Swimming (freestyle intensive).","Scapular mobilization, Posterior capsule stretch (cross-body), Sleeper stretch, Anti-inflammatory protocol.","Rotator cuff strengthening (internal/external rotation), Serratus anterior activation, Row variations.","Landmine press, Cable shoulder press, Incline bench press, DB lateral raise (below 90°).","Omega-3 2-3g, Vitamin D3 2000 IU, Magnesium 300mg","Night pain, significant loss of ROM → cortisone + imaging.",Neer Classification; British Shoulder & Elbow Society Guidelines (variant)
48,Patellar Tendinopathy (Jumper's Knee) — Variant 23,Knee,Mild,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022 (variant)
49,Overtraining Syndrome (OTS) — Variant 24,Systemic,Moderate,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
50,Carpal Tunnel Syndrome — Variant 25,Wrist,Moderate,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
51,Overtraining Syndrome (OTS) — Variant 26,Systemic,Severe,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
52,Ankle Lateral Sprain (Grade I-II) — Variant 27,Ankle,Mild,3-10,"Running, Jumping, HIIT, Heavy leg press, Box jump, Agility drills, Calf raise (loaded early phase).","RICE protocol (48h), Ankle alphabet, Towel scrunches, Seated calf raise, Non-weight-bearing pool walking.","Single-leg balance (30s), BOSU balance, Theraband dorsiflexion, Calf raise (bilateral), Partial jogging.","Lateral band walks, Agility ladder, Plyometric progression, Return to sport at 4-8 weeks.","Bromelain 500mg (swelling), Vitamin C 1g, Collagen 10g","Bony tenderness, inability to bear weight → X-ray to rule out fracture (Ottawa Rules).",Ottawa Ankle Rules; JOSPT Ankle Sprain Clinical Practice Guidelines 2021 (variant)
53,Rotator Cuff Strain (Grade I-II) — Variant 28,Shoulder,Mild,3-10,"Overhead press, Behind-the-neck press, Upright row, Military press, Kipping pull-up, Heavy bench press.","Pendulum exercises, Scapular retraction, Active-assisted ROM. RICE. Sling if needed (Grade II).","Band external rotation (3×15), Side-lying ER, Scaption, Wall push-up, Face pull (light band).","Dumbbell lateral raise, Cable fly, Landmine press, DB shoulder press (neutral grip), Gradual load increase.","Fish oil 3g, Collagen 10g + Vitamin C, Curcumin 1g","Inability to raise arm, complete tear on ultrasound → surgical evaluation.",AAOS Rotator Cuff Guidelines; JOSPT Shoulder Protocol 2021 (variant)
54,Rotator Cuff Strain (Grade I-II) — Variant 29,Shoulder,Severe,3-10,"Overhead press, Behind-the-neck press, Upright row, Military press, Kipping pull-up, Heavy bench press.","Pendulum exercises, Scapular retraction, Active-assisted ROM. RICE. Sling if needed (Grade II).","Band external rotation (3×15), Side-lying ER, Scaption, Wall push-up, Face pull (light band).","Dumbbell lateral raise, Cable fly, Landmine press, DB shoulder press (neutral grip), Gradual load increase.","Fish oil 3g, Collagen 10g + Vitamin C, Curcumin 1g","Inability to raise arm, complete tear on ultrasound → surgical evaluation.",AAOS Rotator Cuff Guidelines; JOSPT Shoulder Protocol 2021 (variant)
55,Lateral Epicondylitis (Tennis Elbow) — Variant 30,Elbow,Mild,7-21,"Barbell wrist extension, Heavy grip exercises, Wrist curl, Reverse curl, Farmer's carry (heavy), Pull-ups (early).","Eccentric wrist extension (Tyler Twist, 3×15), Deep friction massage, Ice after activity, Counterforce brace.","Concentric wrist extension (light weight), Forearm pronation/supination, Grip strengthening (light squeezee ball).","Hammer curl, Reverse curl, Pull-up, Farmer's carry. Return at 8-12 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g",Persistent pain >3 months → consider PRP injection or shockwave therapy.,BJSM Lateral Epicondylitis Guidelines; Nirschl Classification (variant)
56,Hamstring Strain (Grade I-II) — Variant 31,Hamstring,Moderate,5-14,"Sprint, Running, Nordic curl, Romanian deadlift (heavy), Leg curl (early), Stiff-leg deadlift, Yoga forward folds.","RICE, Prone lying, Submaximal isometric hamstring contraction, Gentle hip hinge (pain-free range), Pool walking.","Nordic hamstring eccentric (3×6 — start assisted), Stability ball curl, Romanian deadlift (bodyweight), Bridging.","Jogging, Sprint progression, Nordic curls (unassisted), Full training at 6-12 weeks.","Protein 2.2g/kg, Omega-3 3g, Creatine 5g, Vitamin D3 2000 IU","Proximal avulsion (ischial tuberosity), bruising tracking down leg → imaging required.",Askling Hamstring Protocol; BJSM Hamstring Injury Guidelines 2020 (variant)
57,Carpal Tunnel Syndrome — Variant 32,Wrist,Moderate,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
58,Meniscal Tear (Conservative Management) — Variant 33,Knee,Moderate,7-14,"Deep knee flexion, Twisting on planted foot, Running, Jumping, Squatting beyond 90°, Leg curl.","Ice, compression, elevation. Quad sets, Straight leg raise, Stationary cycling (high seat), Pool walking.","Mini squat, Step-up, Leg press (limited range), Hip strengthening. Avoid pivoting.","Full squat (if pain-free), Jogging (week 8-12), Return to sport at 12-16 weeks.","Glucosamine sulfate 1500mg, Collagen 10g, Boswellia 300mg","Locking, inability to extend, persistent effusion → surgery consult.",Cochrane Review on Meniscal Tears 2020; Orthopedics Today (variant)
59,Carpal Tunnel Syndrome — Variant 34,Wrist,Mild,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
60,Patellar Tendinopathy (Jumper's Knee) — Variant 35,Knee,Severe,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022 (variant)
61,Carpal Tunnel Syndrome — Variant 36,Wrist,Severe,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
62,Rotator Cuff Strain (Grade I-II) — Variant 37,Shoulder,Severe,3-10,"Overhead press, Behind-the-neck press, Upright row, Military press, Kipping pull-up, Heavy bench press.","Pendulum exercises, Scapular retraction, Active-assisted ROM. RICE. Sling if needed (Grade II).","Band external rotation (3×15), Side-lying ER, Scaption, Wall push-up, Face pull (light band).","Dumbbell lateral raise, Cable fly, Landmine press, DB shoulder press (neutral grip), Gradual load increase.","Fish oil 3g, Collagen 10g + Vitamin C, Curcumin 1g","Inability to raise arm, complete tear on ultrasound → surgical evaluation.",AAOS Rotator Cuff Guidelines; JOSPT Shoulder Protocol 2021 (variant)
63,"ACL Tear (Post-surgical Rehab, Phase 1) — Variant 38",Knee,Moderate,0-14 post-op,"All weight-bearing exercise. No pivoting, cutting, jumping. No open-chain knee extension 0-60°.","Quad sets, Straight leg raise, Ankle pumps, Heel prop extension stretching, Cryotherapy, Gait training with crutches.","Stationary cycling (week 4-6), Leg press 0-60° (week 6), Pool walking, Progressive weight-bearing.","Return to sport at 9-12 months minimum. Single-leg squat, Hop tests (LSI >90%), Agility drills.","Vitamin C 1000mg, Zinc 25mg, Protein 1.8-2.2g/kg/day, Creatine 5g (muscle preservation)","Sudden effusion increase, fever, wound infection → immediate surgical consult.",JOSPT ACL Post-op Rehab Guidelines 2021; NICE Guidelines (variant)
64,Patellar Tendinopathy (Jumper's Knee) — Variant 39,Knee,Mild,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022 (variant)
